,permno,date,ret,jyear,formdate,dgtw_port,dgtw_vwret,dgtw_xret
609318,10027,1987-07-31,0.0123456791043282,1987,1987-06-30,111,0.005762366207910192,0.006583312896418008
613902,10027,1987-08-31,0.0487804859876633,1987,1987-06-30,111,0.0013309244333533428,0.04744956155430995
618453,10027,1987-09-30,-0.0465116277337074,1987,1987-06-30,111,-0.03277525635609067,-0.013736371377616727
622974,10027,1987-10-31,-0.414634138345718,1987,1987-06-30,111,-0.336846405702363,-0.07778773264335498
627459,10027,1987-11-30,-0.0833333358168602,1987,1987-06-30,111,-0.09880533461322306,0.015471998796362865
631908,10027,1987-12-31,-0.0909090936183929,1987,1987-06-30,111,-0.010155546798689918,-0.08075354681970298
636320,10027,1988-01-31,0.25,1987,1987-06-30,111,0.12228605960712305,0.12771394039287695
640704,10027,1988-02-29,0.0399999991059303,1987,1987-06-30,111,0.07370142708052548,-0.033701427974595174
645049,10027,1988-03-31,-0.0384615398943424,1987,1987-06-30,111,0.06384373026513096,-0.10230527015947335
649356,10027,1988-04-30,0.0,1987,1987-06-30,111,-0.008717029981128254,0.008717029981128254
653632,10027,1988-05-31,0.0,1987,1987-06-30,111,-0.02338429735051765,0.02338429735051765
657859,10027,1988-06-30,-0.200000002980232,1987,1987-06-30,111,0.06476765134138872,-0.2647676543216207
662650,10027,1988-07-31,0.0750000029802322,1988,1988-06-30,112,-0.0042356935615664405,0.07923569654179864
667410,10027,1988-08-31,-0.0232558138668537,1988,1988-06-30,112,-0.0267883278898586,0.0035325140230049006
672120,10027,1988-09-30,0.428571432828903,1988,1988-06-30,112,0.019744221212203632,0.4088272116166993
676798,10027,1988-10-31,-0.0333333350718021,1988,1988-06-30,112,-0.018321448451365,-0.015011886620437096
681439,10027,1988-11-30,-0.241379305720329,1988,1988-06-30,112,-0.06450974301700144,-0.17686956270332757
686036,10027,1988-12-31,0.0,1988,1988-06-30,112,0.033282262378085674,-0.033282262378085674
690584,10027,1989-01-31,0.272727280855179,1988,1988-06-30,112,0.07106308988182675,0.20166419097335225
695095,10027,1989-02-28,0.25,1988,1988-06-30,112,0.005664109329662264,0.24433589067033773
699571,10027,1989-03-31,0.0571428574621677,1988,1988-06-30,112,0.04525133017630546,0.011891527285862236
704018,10027,1989-04-30,0.459459453821182,1988,1988-06-30,112,0.014332187185182154,0.44512726663599983
708438,10027,1989-05-31,0.129629626870155,1988,1988-06-30,112,0.023294030691154696,0.1063355961790003
712815,10027,1989-06-30,-0.0983606576919556,1988,1988-06-30,112,-0.009433105394981066,-0.08892755229697452
719032,10027,1989-07-31,-0.0545454546809196,1989,1989-06-30,115,0.047181877500545345,-0.10172733218146494
723682,10027,1989-08-31,-0.0384615398943424,1989,1989-06-30,115,0.02561364675102812,-0.06407518664537051
728293,10027,1989-09-30,0.0500000007450581,1989,1989-06-30,115,0.011389133234475497,0.038610867510582604
732879,10027,1989-10-31,0.0,1989,1989-06-30,115,-0.054985602121599184,0.054985602121599184
737432,10027,1989-11-30,-0.00952380988746881,1989,1989-06-30,115,-0.00719067571186133,-0.0023331341756074797
741955,10027,1989-12-31,-0.0576923079788685,1989,1989-06-30,115,0.0004125996715001067,-0.058104907650368604
746447,10027,1990-01-31,0.0,1989,1989-06-30,115,-0.10911736799383549,0.10911736799383549
750900,10027,1990-02-28,0.102040819823742,1989,1989-06-30,115,0.021234222813358152,0.08080659701038384
609319,10028,1987-07-31,-0.235294118523598,1987,1987-06-30,111,0.005762366207910192,-0.24105648473150817
